World Series,Team 1,Team 1 Pitchers,Team 1 Pitchers Links,Team 1 wins,Team 2,Team 2 Pitchers,Team 2 Pitchers Links,Team 2 wins,Links
1945 World Series,Composite Pitching Statistics,['Al Benton\nTommy Bridges\nGeorge Caster\nLes Mueller\nHal Newhouser\nStubby Overmire\nJim Tobin\nDizzy Trout\nVirgil Trucks'],"[['https://www.baseball-almanac.com/players/player.php?p=bentoal01', 'https://www.baseball-almanac.com/players/player.php?p=bridgto01', 'https://www.baseball-almanac.com/players/player.php?p=castege01', 'https://www.baseball-almanac.com/players/player.php?p=muellle01', 'https://www.baseball-almanac.com/players/player.php?p=newhoha01', 'https://www.baseball-almanac.com/players/player.php?p=overmst01', 'https://www.baseball-almanac.com/players/player.php?p=tobinji01', 'https://www.baseball-almanac.com/players/player.php?p=troutdi01', 'https://www.baseball-almanac.com/players/player.php?p=truckvi01']]",4,Composite Pitching Statistics,['Hank Borowy\nBob Chipman\nPaul Derringer\nPaul Erickson\nClaude Passeau\nRay Prim\nHy Vandenberg\nHank Wyse'],"[['https://www.baseball-almanac.com/players/player.php?p=borowha01', 'https://www.baseball-almanac.com/players/player.php?p=chipmbo01', 'https://www.baseball-almanac.com/players/player.php?p=derripa01', 'https://www.baseball-almanac.com/players/player.php?p=erickpa01', 'https://www.baseball-almanac.com/players/player.php?p=passecl01', 'https://www.baseball-almanac.com/players/player.php?p=primra01', 'https://www.baseball-almanac.com/players/player.php?p=vandehy01', 'https://www.baseball-almanac.com/players/player.php?p=wyseha01']]",3,https://www.baseball-almanac.com/ws/yr1945ws.shtml
1946 World Series,St. Louis Cardinals 1946 World Series Composite Pitching Statistics,['Johnny Beazley\nAl Brazle\nHarry Brecheen\nMurry Dickson\nRed Munger\nHowie Pollet\nTed Wilks'],"[['https://www.baseball-almanac.com/players/player.php?p=beazljo01', 'https://www.baseball-almanac.com/players/player.php?p=brazlal01', 'https://www.baseball-almanac.com/players/player.php?p=brechha01', 'https://www.baseball-almanac.com/players/player.php?p=dicksmu01', 'https://www.baseball-almanac.com/players/player.php?p=mungere01', 'https://www.baseball-almanac.com/players/player.php?p=polleho01', 'https://www.baseball-almanac.com/players/player.php?p=wilkste01']]",4,Boston Red Sox 1946 World Series Composite Pitching Statistics,['Jim Bagby\nMace Brown\nJoe Dobson\nClem Dreisewerd\nDave Ferriss\nMickey Harris\nTex Hughson\nEarl Johnson\nBob Klinger\nMike Ryba\nBill Zuber'],"[['https://www.baseball-almanac.com/players/player.php?p=bagbyji02', 'https://www.baseball-almanac.com/players/player.php?p=brownma01', 'https://www.baseball-almanac.com/players/player.php?p=dobsojo01', 'https://www.baseball-almanac.com/players/player.php?p=dreiscl01', 'https://www.baseball-almanac.com/players/player.php?p=ferrida01', 'https://www.baseball-almanac.com/players/player.php?p=harrimi01', 'https://www.baseball-almanac.com/players/player.php?p=hughste01', 'https://www.baseball-almanac.com/players/player.php?p=johnsea01', 'https://www.baseball-almanac.com/players/player.php?p=klingbo01', 'https://www.baseball-almanac.com/players/player.php?p=rybami01', 'https://www.baseball-almanac.com/players/player.php?p=zuberbi01']]",3,https://www.baseball-almanac.com/ws/yr1946ws.shtml
1947 World Series,New York Yankees 1947 World Series Composite Pitching Statistics,['Bill Bevens\nSpud Chandler\nKarl Drews\nBobo Newsom\nJoe Page\nVic Raschi\nAllie Reynolds\nSpec Shea\nButch Wensloff'],"[['https://www.baseball-almanac.com/players/player.php?p=bevenbi01', 'https://www.baseball-almanac.com/players/player.php?p=chandsp01', 'https://www.baseball-almanac.com/players/player.php?p=drewska01', 'https://www.baseball-almanac.com/players/player.php?p=newsobo01', 'https://www.baseball-almanac.com/players/player.php?p=pagejo01', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01', 'https://www.baseball-almanac.com/players/player.php?p=sheasp01', 'https://www.baseball-almanac.com/players/player.php?p=wenslbu01']]",4,Brooklyn Dodgers 1947 World Series Composite Pitching Statistics,['Rex Barney\nHank Behrman\nRalph Branca\nHugh Casey\nHal Gregg\nJoe Hatten\nVic Lombardi\nHarry Taylor'],"[['https://www.baseball-almanac.com/players/player.php?p=barnere02', 'https://www.baseball-almanac.com/players/player.php?p=behrmha01', 'https://www.baseball-almanac.com/players/player.php?p=brancra01', 'https://www.baseball-almanac.com/players/player.php?p=caseyhu01', 'https://www.baseball-almanac.com/players/player.php?p=greggha01', 'https://www.baseball-almanac.com/players/player.php?p=hattejo01', 'https://www.baseball-almanac.com/players/player.php?p=lombavi01', 'https://www.baseball-almanac.com/players/player.php?p=tayloha03']]",3,https://www.baseball-almanac.com/ws/yr1947ws.shtml
1948 World Series,Cleveland Indians 1948 World Series Composite Pitching Statistics,['Gene Bearden\nRuss Christopher\nBob Feller\nSteve Gromek\nEd Klieman\nBob Lemon\nBob Muncrief\nSatchel Paige'],"[['https://www.baseball-almanac.com/players/player.php?p=beardge01', 'https://www.baseball-almanac.com/players/player.php?p=chrisru01', 'https://www.baseball-almanac.com/players/player.php?p=fellebo01', 'https://www.baseball-almanac.com/players/player.php?p=gromest01', 'https://www.baseball-almanac.com/players/player.php?p=kliemed01', 'https://www.baseball-almanac.com/players/player.php?p=lemonbo01', 'https://www.baseball-almanac.com/players/player.php?p=muncrbo01', 'https://www.baseball-almanac.com/players/player.php?p=paigesa01']]",4,Boston Braves 1948 World Series Composite Pitching Statistics,['Red Barrett\nVern Bickford\nNels Potter\nJohnny Sain\nWarren Spahn\nBill Voiselle'],"[['https://www.baseball-almanac.com/players/player.php?p=barrere01', 'https://www.baseball-almanac.com/players/player.php?p=bickfve01', 'https://www.baseball-almanac.com/players/player.php?p=pottene01', 'https://www.baseball-almanac.com/players/player.php?p=sainjo01', 'https://www.baseball-almanac.com/players/player.php?p=spahnwa01', 'https://www.baseball-almanac.com/players/player.php?p=voisebi01']]",2,https://www.baseball-almanac.com/ws/yr1948ws.shtml
1949 World Series,Composite Pitching Statistics,['Tommy Byrne\nEd Lopat\nJoe Page\nVic Raschi\nAllie Reynolds'],"[['https://www.baseball-almanac.com/players/player.php?p=byrneto01', 'https://www.baseball-almanac.com/players/player.php?p=lopated01', 'https://www.baseball-almanac.com/players/player.php?p=pagejo01', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01']]",4,Composite Pitching Statistics,['Jack Banta\nRex Barney\nRalph Branca\nCarl Erskine\nJoe Hatten\nPaul Minner\nDon Newcombe\nErv Palica\nPreacher Roe'],"[['https://www.baseball-almanac.com/players/player.php?p=bantaja01', 'https://www.baseball-almanac.com/players/player.php?p=barnere02', 'https://www.baseball-almanac.com/players/player.php?p=brancra01', 'https://www.baseball-almanac.com/players/player.php?p=erskica01', 'https://www.baseball-almanac.com/players/player.php?p=hattejo01', 'https://www.baseball-almanac.com/players/player.php?p=minnepa01', 'https://www.baseball-almanac.com/players/player.php?p=newcodo01', 'https://www.baseball-almanac.com/players/player.php?p=palicer01', 'https://www.baseball-almanac.com/players/player.php?p=roepr01']]",1,https://www.baseball-almanac.com/ws/yr1949ws.shtml
1950 World Series,New York Yankees 1950 World Series Composite Pitching Statistics,['Tom Ferrick\nWhitey Ford\nEd Lopat\nVic Raschi\nAllie Reynolds'],"[['https://www.baseball-almanac.com/players/player.php?p=ferrito01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=lopated01', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01']]",4,Philadelphia Phillies 1950 World Series Composite Pitching Statistics,['Ken Heintzelman\nJim Konstanty\nRuss Meyer\nBob Miller\nRobin Roberts'],"[['https://www.baseball-almanac.com/players/player.php?p=heintke01', 'https://www.baseball-almanac.com/players/player.php?p=konstji01', 'https://www.baseball-almanac.com/players/player.php?p=meyerru01', 'https://www.baseball-almanac.com/players/player.php?p=millebo02', 'https://www.baseball-almanac.com/players/player.php?p=roberro01']]",0,https://www.baseball-almanac.com/ws/yr1950ws.shtml
1951 World Series,New York Yankees 1951 World Series Composite Pitching Statistics,['Bobby Hogue\nBob Kuzava\nEd Lopat\nTom Morgan\nJoe Ostrowski\nVic Raschi\nAllie Reynolds\nJohnny Sain'],"[['https://www.baseball-almanac.com/players/player.php?p=hoguebo01', 'https://www.baseball-almanac.com/players/player.php?p=kuzavbo01', 'https://www.baseball-almanac.com/players/player.php?p=lopated01', 'https://www.baseball-almanac.com/players/player.php?p=morgato01', 'https://www.baseball-almanac.com/players/player.php?p=ostrojo02', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01', 'https://www.baseball-almanac.com/players/player.php?p=sainjo01']]",4,New York Giants 1951 World Series Composite Pitching Statistics,['Al Corwin\nJim Hearn\nLarry Jansen\nSheldon Jones\nMonte Kennedy\nAlex Konikowski\nDave Koslo\nSal Maglie\nGeorge Spencer'],"[['https://www.baseball-almanac.com/players/player.php?p=corwial01', 'https://www.baseball-almanac.com/players/player.php?p=hearnji01', 'https://www.baseball-almanac.com/players/player.php?p=jansela01', 'https://www.baseball-almanac.com/players/player.php?p=jonessh01', 'https://www.baseball-almanac.com/players/player.php?p=kennemo01', 'https://www.baseball-almanac.com/players/player.php?p=konikal01', 'https://www.baseball-almanac.com/players/player.php?p=kosloda01', 'https://www.baseball-almanac.com/players/player.php?p=maglisa01', 'https://www.baseball-almanac.com/players/player.php?p=spencge01']]",2,https://www.baseball-almanac.com/ws/yr1951ws.shtml
1952 World Series,New York Yankees 1952 World Series Composite Pitching Statistics,['Ewell Blackwell\nTom Gorman\nBob Kuzava\nEd Lopat\nVic Raschi\nAllie Reynolds\nJohnny Sain\nRay Scarborough'],"[['https://www.baseball-almanac.com/players/player.php?p=blackew01', 'https://www.baseball-almanac.com/players/player.php?p=gormato02', 'https://www.baseball-almanac.com/players/player.php?p=kuzavbo01', 'https://www.baseball-almanac.com/players/player.php?p=lopated01', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01', 'https://www.baseball-almanac.com/players/player.php?p=sainjo01', 'https://www.baseball-almanac.com/players/player.php?p=scarbra01']]",4,Brooklyn Dodgers 1952 World Series Composite Pitching Statistics,['Joe Black\nCarl Erskine\nKen Lehman\nBilly Loes\nPreacher Roe\nJohnny Rutherford'],"[['https://www.baseball-almanac.com/players/player.php?p=blackjo02', 'https://www.baseball-almanac.com/players/player.php?p=erskica01', 'https://www.baseball-almanac.com/players/player.php?p=lehmake01', 'https://www.baseball-almanac.com/players/player.php?p=loesbi01', 'https://www.baseball-almanac.com/players/player.php?p=roepr01', 'https://www.baseball-almanac.com/players/player.php?p=ruthejo01']]",3,https://www.baseball-almanac.com/ws/yr1952ws.shtml
1953 World Series,New York Yankees 1953 World Series Composite Pitching Statistics,['Whitey Ford\nTom Gorman\nBob Kuzava\nEd Lopat\nJim McDonald\nVic Raschi\nAllie Reynolds\nJohnny Sain\nArt Schallock'],"[['https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=gormato02', 'https://www.baseball-almanac.com/players/player.php?p=kuzavbo01', 'https://www.baseball-almanac.com/players/player.php?p=lopated01', 'https://www.baseball-almanac.com/players/player.php?p=mcdonji04', 'https://www.baseball-almanac.com/players/player.php?p=raschvi01', 'https://www.baseball-almanac.com/players/player.php?p=reynoal01', 'https://www.baseball-almanac.com/players/player.php?p=sainjo01', 'https://www.baseball-almanac.com/players/player.php?p=schalar01']]",4,Brooklyn Dodgers 1953 World Series Composite Pitching Statistics,['Joe Black\nCarl Erskine\nJim Hughes\nClem Labine\nBilly Loes\nRuss Meyer\nBob Milliken\nJohnny Podres\nPreacher Roe\nBen Wade'],"[['https://www.baseball-almanac.com/players/player.php?p=blackjo02', 'https://www.baseball-almanac.com/players/player.php?p=erskica01', 'https://www.baseball-almanac.com/players/player.php?p=hugheji02', 'https://www.baseball-almanac.com/players/player.php?p=labincl01', 'https://www.baseball-almanac.com/players/player.php?p=loesbi01', 'https://www.baseball-almanac.com/players/player.php?p=meyerru01', 'https://www.baseball-almanac.com/players/player.php?p=millibo01', 'https://www.baseball-almanac.com/players/player.php?p=podrejo01', 'https://www.baseball-almanac.com/players/player.php?p=roepr01', 'https://www.baseball-almanac.com/players/player.php?p=wadebe01']]",2,https://www.baseball-almanac.com/ws/yr1953ws.shtml
1954 World Series,New York Giants 1954 World Series Composite Pitching Statistics,['Johnny Antonelli\nRuben Gomez\nMarv Grissom\nDon Liddle\nSal Maglie\nHoyt Wilhelm'],"[['https://www.baseball-almanac.com/players/player.php?p=antonjo02', 'https://www.baseball-almanac.com/players/player.php?p=gomezru01', 'https://www.baseball-almanac.com/players/player.php?p=grissma01', 'https://www.baseball-almanac.com/players/player.php?p=liddldo01', 'https://www.baseball-almanac.com/players/player.php?p=maglisa01', 'https://www.baseball-almanac.com/players/player.php?p=wilheho01']]",4,Cleveland Indians 1954 World Series Composite Pitching Statistics,['Mike Garcia\nArt Houtteman\nBob Lemon\nDon Mossi\nRay Narleski\nHal Newhouser\nEarly Wynn'],"[['https://www.baseball-almanac.com/players/player.php?p=garcimi01', 'https://www.baseball-almanac.com/players/player.php?p=houttar01', 'https://www.baseball-almanac.com/players/player.php?p=lemonbo01', 'https://www.baseball-almanac.com/players/player.php?p=mossido01', 'https://www.baseball-almanac.com/players/player.php?p=narlera01', 'https://www.baseball-almanac.com/players/player.php?p=newhoha01', 'https://www.baseball-almanac.com/players/player.php?p=wynnea01']]",0,https://www.baseball-almanac.com/ws/yr1954ws.shtml
1955 World Series,Brooklyn Dodgers 1955 World Series Composite Pitching Statistics,['Don Bessent\nRoger Craig\nCarl Erskine\nClem Labine\nBilly Loes\nRuss Meyer\nDon Newcombe\nJohnny Podres\nEd Roebuck\nKarl Spooner'],"[['https://www.baseball-almanac.com/players/player.php?p=bessedo01', 'https://www.baseball-almanac.com/players/player.php?p=craigro01', 'https://www.baseball-almanac.com/players/player.php?p=erskica01', 'https://www.baseball-almanac.com/players/player.php?p=labincl01', 'https://www.baseball-almanac.com/players/player.php?p=loesbi01', 'https://www.baseball-almanac.com/players/player.php?p=meyerru01', 'https://www.baseball-almanac.com/players/player.php?p=newcodo01', 'https://www.baseball-almanac.com/players/player.php?p=podrejo01', 'https://www.baseball-almanac.com/players/player.php?p=roebued01', 'https://www.baseball-almanac.com/players/player.php?p=spoonka01']]",4,New York Yankees 1955 World Series Composite Pitching Statistics,['Tommy Byrne\nRip Coleman\nWhitey Ford\nBob Grim\nJohnny Kucks\nDon Larsen\nTom Morgan\nTom Sturdivant\nBob Turley'],"[['https://www.baseball-almanac.com/players/player.php?p=byrneto01', 'https://www.baseball-almanac.com/players/player.php?p=colemri01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=grimbo01', 'https://www.baseball-almanac.com/players/player.php?p=kucksjo01', 'https://www.baseball-almanac.com/players/player.php?p=larsedo01', 'https://www.baseball-almanac.com/players/player.php?p=morgato01', 'https://www.baseball-almanac.com/players/player.php?p=sturdto01', 'https://www.baseball-almanac.com/players/player.php?p=turlebo01']]",3,https://www.baseball-almanac.com/ws/yr1955ws.shtml
1956 World Series,New York Yankees 1956 World Series Composite Pitching Statistics,['Tommy Byrne\nWhitey Ford\nJohnny Kucks\nDon Larsen\nMickey McDermott\nTom Morgan\nTom Sturdivant\nBob Turley'],"[['https://www.baseball-almanac.com/players/player.php?p=byrneto01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=kucksjo01', 'https://www.baseball-almanac.com/players/player.php?p=larsedo01', 'https://www.baseball-almanac.com/players/player.php?p=mcdermi03', 'https://www.baseball-almanac.com/players/player.php?p=morgato01', 'https://www.baseball-almanac.com/players/player.php?p=sturdto01', 'https://www.baseball-almanac.com/players/player.php?p=turlebo01']]",4,Brooklyn Dodgers 1956 World Series Composite Pitching Statistics,['Don Bessent\nRoger Craig\nDon Drysdale\nCarl Erskine\nClem Labine\nSal Maglie\nDon Newcombe\nEd Roebuck'],"[['https://www.baseball-almanac.com/players/player.php?p=bessedo01', 'https://www.baseball-almanac.com/players/player.php?p=craigro01', 'https://www.baseball-almanac.com/players/player.php?p=drysddo01', 'https://www.baseball-almanac.com/players/player.php?p=erskica01', 'https://www.baseball-almanac.com/players/player.php?p=labincl01', 'https://www.baseball-almanac.com/players/player.php?p=maglisa01', 'https://www.baseball-almanac.com/players/player.php?p=newcodo01', 'https://www.baseball-almanac.com/players/player.php?p=roebued01']]",3,https://www.baseball-almanac.com/ws/yr1956ws.shtml
1957 World Series,Milwaukee Braves 1957 World Series Composite Pitching Statistics,['Bob Buhl\nLew Burdette\nGene Conley\nErnie Johnson\nDon McMahon\nJuan Pizarro\nWarren Spahn\nBob Trowbridge'],"[['https://www.baseball-almanac.com/players/player.php?p=buhlbo01', 'https://www.baseball-almanac.com/players/player.php?p=burdele01', 'https://www.baseball-almanac.com/players/player.php?p=conlege01', 'https://www.baseball-almanac.com/players/player.php?p=johnser02', 'https://www.baseball-almanac.com/players/player.php?p=mcmahdo02', 'https://www.baseball-almanac.com/players/player.php?p=pizarju01', 'https://www.baseball-almanac.com/players/player.php?p=spahnwa01', 'https://www.baseball-almanac.com/players/player.php?p=trowbbo01']]",4,New York Yankees 1957 World Series Composite Pitching Statistics,['Tommy Byrne\nArt Ditmar\nWhitey Ford\nBob Grim\nJohnny Kucks\nDon Larsen\nBobby Shantz\nTom Sturdivant\nBob Turley'],"[['https://www.baseball-almanac.com/players/player.php?p=byrneto01', 'https://www.baseball-almanac.com/players/player.php?p=ditmaar01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=grimbo01', 'https://www.baseball-almanac.com/players/player.php?p=kucksjo01', 'https://www.baseball-almanac.com/players/player.php?p=larsedo01', 'https://www.baseball-almanac.com/players/player.php?p=shantbo01', 'https://www.baseball-almanac.com/players/player.php?p=sturdto01', 'https://www.baseball-almanac.com/players/player.php?p=turlebo01']]",3,https://www.baseball-almanac.com/ws/yr1957ws.shtml
1958 World Series,New York Yankees 1958 World Series Composite Pitching Statistics,['Murry Dickson\nArt Ditmar\nRyne Duren\nWhitey Ford\nJohnny Kucks\nDon Larsen\nDuke Maas\nZach Monroe\nBob Turley'],"[['https://www.baseball-almanac.com/players/player.php?p=dicksmu01', 'https://www.baseball-almanac.com/players/player.php?p=ditmaar01', 'https://www.baseball-almanac.com/players/player.php?p=durenry01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=kucksjo01', 'https://www.baseball-almanac.com/players/player.php?p=larsedo01', 'https://www.baseball-almanac.com/players/player.php?p=maasdu01', 'https://www.baseball-almanac.com/players/player.php?p=monroza01', 'https://www.baseball-almanac.com/players/player.php?p=turlebo01']]",4,Milwaukee Braves 1958 World Series Composite Pitching Statistics,['Lew Burdette\nDon McMahon\nJuan Pizarro\nBob Rush\nWarren Spahn\nCarl Willey'],"[['https://www.baseball-almanac.com/players/player.php?p=burdele01', 'https://www.baseball-almanac.com/players/player.php?p=mcmahdo02', 'https://www.baseball-almanac.com/players/player.php?p=pizarju01', 'https://www.baseball-almanac.com/players/player.php?p=rushbo01', 'https://www.baseball-almanac.com/players/player.php?p=spahnwa01', 'https://www.baseball-almanac.com/players/player.php?p=willeca01']]",3,https://www.baseball-almanac.com/ws/yr1958ws.shtml
1959 World Series,Los Angeles Dodgers 1959 World Series Composite Pitching Statistics,['Chuck Churn\nRoger Craig\nDon Drysdale\nJohnny Klippstein\nSandy Koufax\nClem Labine\nJohnny Podres\nLarry Sherry\nStan Williams'],"[['https://www.baseball-almanac.com/players/player.php?p=churnch01', 'https://www.baseball-almanac.com/players/player.php?p=craigro01', 'https://www.baseball-almanac.com/players/player.php?p=drysddo01', 'https://www.baseball-almanac.com/players/player.php?p=klippjo01', 'https://www.baseball-almanac.com/players/player.php?p=koufasa01', 'https://www.baseball-almanac.com/players/player.php?p=labincl01', 'https://www.baseball-almanac.com/players/player.php?p=podrejo01', 'https://www.baseball-almanac.com/players/player.php?p=sherrla01', 'https://www.baseball-almanac.com/players/player.php?p=willist02']]",4,Chicago White Sox 1959 World Series Composite Pitching Statistics,['Dick Donovan\nTurk Lown\nRay Moore\nBilly Pierce\nBob Shaw\nGerry Staley\nEarly Wynn'],"[['https://www.baseball-almanac.com/players/player.php?p=donovdi01', 'https://www.baseball-almanac.com/players/player.php?p=lowntu01', 'https://www.baseball-almanac.com/players/player.php?p=moorera02', 'https://www.baseball-almanac.com/players/player.php?p=piercbi02', 'https://www.baseball-almanac.com/players/player.php?p=shawbo01', 'https://www.baseball-almanac.com/players/player.php?p=stalege01', 'https://www.baseball-almanac.com/players/player.php?p=wynnea01']]",2,https://www.baseball-almanac.com/ws/yr1959ws.shtml
1960 World Series,Pittsburgh Pirates 1960 World Series Composite Pitching Statistics,['Tom Cheney\nRoy Face\nBob Friend\nJoe Gibbon\nFred Green\nHarvey Haddix\nClem Labine\nVern Law\nVinegar Bend Mizell\nGeorge Witt'],"[['https://www.baseball-almanac.com/players/player.php?p=cheneto01', 'https://www.baseball-almanac.com/players/player.php?p=facero01', 'https://www.baseball-almanac.com/players/player.php?p=frienbo01', 'https://www.baseball-almanac.com/players/player.php?p=gibbojo01', 'https://www.baseball-almanac.com/players/player.php?p=greenfr01', 'https://www.baseball-almanac.com/players/player.php?p=haddiha01', 'https://www.baseball-almanac.com/players/player.php?p=labincl01', 'https://www.baseball-almanac.com/players/player.php?p=lawve01', 'https://www.baseball-almanac.com/players/player.php?p=mizelvi01', 'https://www.baseball-almanac.com/players/player.php?p=wittge01']]",4,New York Yankees 1960 World Series Composite Pitching Statistics,['Luis Arroyo\nJim Coates\nArt Ditmar\nRyne Duren\nWhitey Ford\nDuke Maas\nBobby Shantz\nBill Stafford\nRalph Terry\nBob Turley'],"[['https://www.baseball-almanac.com/players/player.php?p=arroylu01', 'https://www.baseball-almanac.com/players/player.php?p=coateji01', 'https://www.baseball-almanac.com/players/player.php?p=ditmaar01', 'https://www.baseball-almanac.com/players/player.php?p=durenry01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=maasdu01', 'https://www.baseball-almanac.com/players/player.php?p=shantbo01', 'https://www.baseball-almanac.com/players/player.php?p=staffbi01', 'https://www.baseball-almanac.com/players/player.php?p=terryra01', 'https://www.baseball-almanac.com/players/player.php?p=turlebo01']]",3,https://www.baseball-almanac.com/ws/yr1960ws.shtml
1961 World Series,New York Yankees 1961 World Series Composite Pitching Statistics,['Luis Arroyo\nJim Coates\nBud Daley\nWhitey Ford\nBill Stafford\nRalph Terry'],"[['https://www.baseball-almanac.com/players/player.php?p=arroylu01', 'https://www.baseball-almanac.com/players/player.php?p=coateji01', 'https://www.baseball-almanac.com/players/player.php?p=daleybu01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=staffbi01', 'https://www.baseball-almanac.com/players/player.php?p=terryra01']]",4,Cincinnati Reds 1961 World Series Composite Pitching Statistics,"[""Jim Brosnan\nBill Henry\nKen Hunt\nJoey Jay\nKen Johnson\nSherman Jones\nJim Maloney\nJim O'Toole\nBob Purkey""]","[['https://www.baseball-almanac.com/players/player.php?p=brosnji01', 'https://www.baseball-almanac.com/players/player.php?p=henrybi01', 'https://www.baseball-almanac.com/players/player.php?p=huntke02', 'https://www.baseball-almanac.com/players/player.php?p=jayjo01', 'https://www.baseball-almanac.com/players/player.php?p=johnske02', 'https://www.baseball-almanac.com/players/player.php?p=jonessh02', 'https://www.baseball-almanac.com/players/player.php?p=malonji01', 'https://www.baseball-almanac.com/players/player.php?p=otooji01', 'https://www.baseball-almanac.com/players/player.php?p=purkebo01']]",1,https://www.baseball-almanac.com/ws/yr1961ws.shtml
1962 World Series,New York Yankees 1962 World Series Composite Pitching Statistics,['Marshall Bridges\nJim Coates\nBud Daley\nWhitey Ford\nBill Stafford\nRalph Terry'],"[['https://www.baseball-almanac.com/players/player.php?p=bridgma01', 'https://www.baseball-almanac.com/players/player.php?p=coateji01', 'https://www.baseball-almanac.com/players/player.php?p=daleybu01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=staffbi01', 'https://www.baseball-almanac.com/players/player.php?p=terryra01']]",4,San Francisco Giants 1962 World Series Composite Pitching Statistics,"[""Bobby Bolin\nDon Larsen\nJuan Marichal\nStu Miller\nBilly O'Dell\nBilly Pierce\nJack Sanford""]","[['https://www.baseball-almanac.com/players/player.php?p=bolinbo01', 'https://www.baseball-almanac.com/players/player.php?p=larsedo01', 'https://www.baseball-almanac.com/players/player.php?p=maricju01', 'https://www.baseball-almanac.com/players/player.php?p=millest01', 'https://www.baseball-almanac.com/players/player.php?p=odelbi01', 'https://www.baseball-almanac.com/players/player.php?p=piercbi02', 'https://www.baseball-almanac.com/players/player.php?p=sanfoja02']]",3,https://www.baseball-almanac.com/ws/yr1962ws.shtml
1963 World Series,Composite Pitching Statistics,['Don Drysdale\nSandy Koufax\nRon Perranoski\nJohnny Podres'],"[['https://www.baseball-almanac.com/players/player.php?p=drysddo01', 'https://www.baseball-almanac.com/players/player.php?p=koufasa01', 'https://www.baseball-almanac.com/players/player.php?p=perraro01', 'https://www.baseball-almanac.com/players/player.php?p=podrejo01']]",4,Composite Pitching Statistics,['Jim Bouton\nAl Downing\nWhitey Ford\nSteve Hamilton\nHal Reniff\nRalph Terry\nStan Williams'],"[['https://www.baseball-almanac.com/players/player.php?p=boutoji01', 'https://www.baseball-almanac.com/players/player.php?p=downial01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=hamilst01', 'https://www.baseball-almanac.com/players/player.php?p=renifha01', 'https://www.baseball-almanac.com/players/player.php?p=terryra01', 'https://www.baseball-almanac.com/players/player.php?p=willist02']]",0,https://www.baseball-almanac.com/ws/yr1963ws.shtml
1964 World Series,St. Louis Cardinals 1964 World Series Composite Pitching Statistics,['Roger Craig\nBob Gibson\nBob Humphreys\nGordie Richardson\nRay Sadecki\nBarney Schultz\nCurt Simmons\nRon Taylor'],"[['https://www.baseball-almanac.com/players/player.php?p=craigro01', 'https://www.baseball-almanac.com/players/player.php?p=gibsobo01', 'https://www.baseball-almanac.com/players/player.php?p=humphbo01', 'https://www.baseball-almanac.com/players/player.php?p=richago01', 'https://www.baseball-almanac.com/players/player.php?p=sadecra01', 'https://www.baseball-almanac.com/players/player.php?p=schulba01', 'https://www.baseball-almanac.com/players/player.php?p=simmocu01', 'https://www.baseball-almanac.com/players/player.php?p=tayloro01']]",4,New York Yankees 1964 World Series Composite Pitching Statistics,['Jim Bouton\nAl Downing\nWhitey Ford\nSteve Hamilton\nPete Mikkelsen\nHal Reniff\nRollie Sheldon\nMel Stottlemyre\nRalph Terry'],"[['https://www.baseball-almanac.com/players/player.php?p=boutoji01', 'https://www.baseball-almanac.com/players/player.php?p=downial01', 'https://www.baseball-almanac.com/players/player.php?p=fordwh01', 'https://www.baseball-almanac.com/players/player.php?p=hamilst01', 'https://www.baseball-almanac.com/players/player.php?p=mikkepe01', 'https://www.baseball-almanac.com/players/player.php?p=renifha01', 'https://www.baseball-almanac.com/players/player.php?p=sheldro01', 'https://www.baseball-almanac.com/players/player.php?p=stottme01', 'https://www.baseball-almanac.com/players/player.php?p=terryra01']]",3,https://www.baseball-almanac.com/ws/yr1964ws.shtml
